Category,Permission,Owner,Regional Admin,Super Admin,Church Admin,Lead Pastor,Pastor,Minister,Social Manager,Staff,Member,Description
Administration,Integration Management,✓,✗,✓,✓,✗,✗,✗,✗,✗,✗,Manage third-party integrations
Administration,Administrative Assistance,✓,✓,✓,✓,✗,✗,✗,✗,✓,✗,Assist with administrative tasks
Role Hierarchy,Role Level,1,2,3,4,5,6,7,8,9,10,Hierarchical order of authority
Role Hierarchy,Church Scope,All Churches,Assigned Churches,Single Church,Single Church,Single Church,Single Church,Single Church,Single Church,Single Church,Single Church,Scope of church access
Role Hierarchy,Max Role Level Can Assign,10,9,8,7,6,5,4,3,2,1,Maximum role level this role can assign to others
Enhanced Features,Regional Church Oversight,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,Manage multiple churches in region/denomination
Enhanced Features,Ministry-Scoped Moderation,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,Moderate content within assigned ministry areas
Enhanced Features,Optional Staff Permissions,✓,✓,✓,✓,✗,✗,✗,✗,Configurable,✗,Church-configurable permissions for staff
Enhanced Features,Defined Member Directory Rules,✓,✓,✓,✓,✓,✓,✓,✗,✗,Restricted Access,Clear rules for what members can see
Enhanced Features,Role Template Support,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,Quick setup templates for different church sizes
