Church Name,City,State,Country,Phone,Email,Website,Church Admin Title,Church Admin Name,
First Presbyterian Church,Camden,AL,United States ,334-682-5253,fpccamden@gmail.com,-,Rev,Brett Frey,
Catherine Presbyterian Church,Catherine,AL,United States ,-,Church38@soapboxsuperapp.com,-,-,,
First Presbyterian Church,Centreville,AL,United States ,205-926-4261,Church39@soapboxsuperapp.com,-,-,,
Grace Fellowship Presbyterian Church,Clanton,AL,United States ,205-755-4150,office@graceclanton.com,www.graceclanton.com,Rev,Kevin Corley,
Mount Calvary Presbyterian Church,Clay,AL,United States ,205-681-4101,ikthos@mac.com,www.mtcalvarypca.org,Rev,Phil W Rich,
Pleasant View Presbyterian Church,Clayton,AL,United States ,-,Church42@soapboxsuperapp.com,-,Rev,Ray H Cureton,
Pea River Presbyterian Church,Clio,AL,United States ,334-397-4720,Church43@soapboxsuperapp.com,-,Rev,Trip Etheridge,
Collinsville Presbyterian Church,Collinsville,AL,United States ,334-328-7995,gcasf@bellsouth.net,-,-,,
Grace on Main PCA,Columbiana,AL,United States ,205-678-2663,info@graceonmainpca.org,www.graceonmainpca.org,Rev,Burt H Boykin Jr,
Christ Covenant Presbyterian Church,Cullman,AL,United States ,256-739-0505,admin@christcovenantcullman.org,www.christcovenantcullman.org,Rev,Jason Ellerbee,
Decatur Presbyterian Church,Decatur,AL,United States ,256-351-6010,office@decaturpca.org,www.decaturpca.org,Rev,J Scott Phillips,
First Presbyterian Church,Demopolis,AL,United States ,334-289-3895,fpcdemopolis@gmail.com,www.demopolispresbyterian.com,Rev,Joseph V Carmichael,
First Presbyterian Church,Dothan,AL,United States ,334-794-3128,dothanpres@firstpresdothan.com,www.firstpresdothan.com,Rev,Rusty Reid Milton,
Westwood Presbyterian Church,Dothan,AL,United States ,334-794-4080,office@westwoodpca.org,www.westwoodpca.org,Rev,David D Temples,
Central Presbyterian Church,Emelle,AL,United States ,-,Church51@soapboxsuperapp.com,-,Rev,Thomas G Kay Jr,
First Presbyterian Church,Enterprise,AL,United States ,334-347-9515,fprespca@firstpreschurch.org,www.1stpreschurch.net,Rev,Christopher Thomas,
Covenant Presbyterian Church,Eufala,AL,United States ,334-687-0033,cpceufaula@gmail.com,www.cpceufaula.com,Rev,John Brewer Ames III,
First Presbyterian Church,Eutaw,AL,United States ,205-372-3367,Church54@soapboxsuperapp.com,-,Rev,Ronald Moore Smith,
Pleasant Ridge Presbyterian Church,Eutaw,AL,United States ,205-399-1382,edowens79@gmail.com,-,Rev,Thomas G Kay Jr,
Urban Hope,Fairfield,AL,United States ,205-514-3715,info@urbanhopecc.com,www.urbanhopecc.com,Rev,Alton Hardy,
Eastern Shore Presbyterian Church,Fairhope,AL,United States ,251-928-0977,espc@easternshorepca.org,www.easternshorepca.org,Dr,Gary R Cox,
Faunsdale Presbyterian Church,Faunsdale,AL,United States ,334-628-4219,Church58@soapboxsuperapp.com,-,Rev,George H McKee,
First Presbyterian Church,Florala,AL,United States ,334-648-1951,fpc_florala@yahoo.com,1stprespcaflorala.webs.com/index.htm,-,,
Redeemer Presbyterian Church,Florence,AL,United States ,256-766-3414,info@redeemershoals.com,www.redeemershoals.com,Rev,Mark Allen Robertson,
Grace Fellowship Presbyterian Church,Foley,AL,United States ,251-968-5302,gfpca.gulfcoast@gmail.com,www.gracefellowshipoffoley.com,Rev,Richard A Fennig,
Little Sandy Ridge Presbyterian Church,Fort Deposit,AL,United States ,334-382-6568,Church62@soapboxsuperapp.com,-,-,,
Grace Presbyterian Church,Fort Payne,AL,United States ,256-845-4756,office@graceprez.org,www.graceprez.org,-,,
Redeemer Presbyterian Church,Gardendale,AL,United States ,205-514-0199,wayne@redeemerpca.org,www.redeemerpca.org,Rev,Wayne Shelton,
First Presbyterian Church,Greensboro,AL,United States ,205-792-4930,jalexander@greensborofpc.org,greensborofpc.org,Rev,John Alexander,
First Presbyterian Church,Greenville,AL,United States ,334-382-3937,fpcg@centurytel.net,www.fpchurchgreenville.org,Dr,Robert Fossett,
Gulf Coast Presbyterian Church,Gulf Shores,AL,United States ,678-979-5200,bbennett@gulfcoastpca.org,gulfcoastpca.org,Rev,William Earl Bennett,
Hayneville Presbyterian Church,Hayneville,AL,United States ,334-313-3355,speeces03@gmail.com,-,Rev,Lincoln Speece,
Christ Community Church,Helena,AL,United States ,205-881-4222,info@cccbham.org,christcommunity.net,Rev,Phil Chambers,
Homewood Community Church,Homewood,AL,United States ,-,tom@homewoodcommunitychurch.org,homewoodcommunitychurch.org,Rev,Tom Franklin,
Cross Creek Church,Hoover,AL,United States ,205-434-3138,info@crosscreekchurch.net,www.crosscreekchurch.net,Rev,Christopher Morgan Peters,
All Saints Presbyterian Church,Huntsville,AL,United States ,256-682-1364,revmattpatrick@gmail.com,www.allsaintshsv.com,Rev,Matt Patrick,
Cornerstone Presbyterian Church,Huntsville,AL,United States ,256-489-4625,office@cornerstonehuntsville.org,cornerstonehuntsville.org,Rev,Wilson Shirley,
Faith Community Church,Huntsville,AL,United States ,938-227-3990,Church74@soapboxsuperapp.com,www.faithhuntsville.com,Rev,Adam Paul Venable,
Hope City Church,Huntsville,AL,United States ,256-280-7200,Church75@soapboxsuperapp.com,www.hopecityal.com,Rev,Amos Williams,
Southwood Presbyterian Church,Huntsville,AL,United States ,256-882-3085,worship@southwood.org,www.southwood.org,Rev,William Alan Spink,
The Village Church,Huntsville,AL,United States ,256-270-9112,cynthia@enterthevillage.net,enterthevillage.net,Rev,Alexander Myron Shipman,
Westminster Presbyterian Church,Huntsville,AL,United States ,256-830-5754,office@wpc-hsv.org,www.wpc-hsv.org,Rev,Joe Henry Steele III,
Hope Community Church,Jacksonville,AL,United States ,256-435-5005,hopecommunitypca@yahoo.com,www.hopecommunitypca.com,Rev,Steve Mayes,
First Presbyterian Church of Jasper,Jasper,AL,United States ,205-384-3994,firstpres_jasper@bellsouth.net,-,Rev,Scott Pierce,
Lillian Fellowship Church,Lillian,AL,United States ,706-816-1241,contact@lillianfellowship.org,www.lillianfellowship.org,Rev,Dean E Conkel,
Linden Presbyterian Church,Linden,AL,United States ,334-295-8609,randyoak145@yahoo.com,-,-,,
Lowndesboro Presbyterian Church,Lowndesboro,AL,United States ,334-278-3238,speeces03@gmail.com,-,Rev,Lincoln Speece,
Loxley Presbyterian Church,Loxley,AL,United States ,251-929-4919,loxleypresbyterian@gmail.com,loxleypresbyterian.com,Rev,Andrew Colbert,
Good Shepherd Presbyterian Church,Madison,AL,United States ,-,nathan.goodshepherdpca@gmail.com,www.goodshepherdal.org,Rev,Nathan White,
Valley Presbyterian Church,Madison,AL,United States ,256-567-9052,pastor@valleymadison.com,www.valleymadison.com,Rev,William Plott,
Marion Presbyterian Church,Marion,AL,United States ,334-683-6896,Church87@soapboxsuperapp.com,www.marionpres.com,-,,
North Hills Presbyterian Church,Meridianville,AL,United States ,256-885-6887,office@northhillschurch.net,www.northhillschurch.net,Rev,Adam Tisdale,
Millbrook Presbyterian Church,Millbrook,AL,United States ,334-285-4031,mpcaoffice@gmail.com,www.millbrookpca.com,Rev,Brannon Bowman,
Christ Presbyterian Church,Mobile,AL,United States ,251-633-2002,christpres.members@gmail.com,www.cpcmobile.com,Rev,Joshua Sparkman,
Christ Redeemer Church,Mobile,AL,United States ,251-533-5711,ben@crcmobile.org,www.crcmobile.org,Rev,Ben Nelson,
Grace Community Church,Mobile,AL,United States ,251-345-3303,office@gracemobile.org,www.gracemobile.org,Rev,James A Bryars,
Monroeville Presbyterian Church,Monroeville,AL,United States ,251-743-3482,office@monpres.org,www.monpres.org,Rev,J Roger McCay Jr,
Eastwood Presbyterian Church,Montgomery,AL,United States ,334-272-3103,administration@eastwoodchurch.org,www.eastwoodchurch.org,Rev,Barton T Lester,
First Presbyterian Church,Montgomery,AL,United States ,-,info@1stmgm.com,1stmgm.com,Rev,Reed DePace,
Providence Presbyterian Church,Montgomery,AL,United States ,-,Church96@soapboxsuperapp.com,-,-,,
Trinity Presbyterian Church,Montgomery,AL,United States ,334-262-3892,info@trinitypca.org,www.trinitypca.org,Rev,Kurt Cooper,
Young Meadows Presbyterian Church,Montgomery,AL,United States ,334-244-1385,info@ympca.org,www.youngmeadows.org,Rev,Adam Coppock,
Community Presbyterian Church,Moody,AL,United States ,205-640-5698,office@communitypca.net,www.CommunityPCA.net,Rev,Robert W Grames III,
Newbern Presbyterian Church,Newbern,AL,United States ,334-624-3963,Church100@soapboxsuperapp.com,-,-,,
Woodland Presbyterian Church,Notasulga,AL,United States ,334-324-1812,Church101@soapboxsuperapp.com,-,-,,
Trinity Presbyterian Church,Opelika,AL,United States ,334-745-4889,info@tpcopelika.org,www.tpcopelika.org,Rev,Chris M Duncan,
Christ Presbyterian Church,Owens Cross Roads,AL,United States ,-,christprespca@gmail.com,www.christpreshamptoncove.org,Dr,Michael Calvert,
Lakewood Presbyterian Church,Pell City,AL,United States ,205-884-2631,lkwdpca@gmail.com,www.lakewoodpca.net,Rev,Daniel Leavengood,
Montgomery Open Kingdom Presbyterian Church,Pike Road,AL,United States ,803-542-6065,godstori@gmail.com,www.mokpca.com,Rev,Kyung Jae Seo,
Reformation Presbyterian Church,Pike Road,AL,United States ,334-245-7700,info@reformationpresbyterian.church,reformationpresbyterian.church,-,,
First Presbyterian Church,Prattville,AL,United States ,334-365-6387,admin@fpcministries.org,firstpresbyterianchurchofprattville.com,Rev,Allan Bledsoe,
Rainbow Presbyterian Church,Rainbow City,AL,United States ,256-442-3440,rainbow@rainbowpca.org,www.rainbowpca.org,Rev,Ray Tucker,
First Presbyterian Church,Russellville,AL,United States ,256-332-5730,Church109@soapboxsuperapp.com,www.firstpresrussellville.com,-,,
Redeemer Presbyterian Church,Scottsboro,AL,United States ,803-287-0270,dtrpaulson@gmail.com,www.redeemerscottsboro.org,Rev,Dieter Paulson,
New Covenant Presbyterian Church,Selma,AL,United States ,334-872-1218,ncpcselma@gmail.com,ncpcselma.org,Rev,Michael Perry,
Christ Community Church,Springville,AL,United States ,205-202-0742,info@christcommunityspringville.com,www.christcommunityspringville.com,Rev,Rick Hutchinson,
Knollwood Presbyterian Church,Sylacauga,AL,United States ,256-249-2648,knollwoodpres@mysylacauga.com,www.knollwoodpresbyterianchurch.com,Rev,Mark William Jessup,
Lake Martin Mission,Tallassee,AL,United States ,334.791.9603,lakemartinmissionchurch@gmail.com,www.facebook.com/groups/pcamissionchurch,-,,
First Presbyterian Church,Troy,AL,United States ,334-566-0817,troyfpc@gmail.com,www.troyfpc.com,Rev,Richard Holbert,
Christ Church PCA,Trussville,AL,United States ,205-655-3533,info@christchurchpca.net,www.christchurchpca.net,Rev,Jeremy Byrd,
Riverwood Presbyterian Church,Tuscaloosa,AL,United States ,205-758-8706,secretary@riverwoodchurch.org,www.riverwoodchurch.org,Rev,Jeffrey Glenn Pate,
Trinity Presbyterian Church,Tuscaloosa,AL,United States ,205-391-2111,rvise@trinitytuscaloosa.org,www.trinitytuscaloosa.org,Rev,Richard Martin Vise Jr,
First Presbyterian Church,Tuscumbia,AL,United States ,256-383-2412,tuscumbiapres@gmail.com,www.tuscumbiapres.com,Rev,Jeffery L Hamm,
Bethel Presbyterian Church,Union Springs,AL,United States ,-,Church120@soapboxsuperapp.com,-,-,,
First Presbyterian Church Uniontown,Uniontown,AL,United States ,334-628-3731,Church121@soapboxsuperapp.com,-,Rev,George H McKee,
Unity Presbyterian Church,Weogufka,AL,United States ,256-249-2271,Church122@soapboxsuperapp.com,-,-,,
Christ Church Bentonville,Bentonville,AR,United States ,479-644-9248,christaylor@christchurchbentonville.org,christchurchbentonville.org,Rev,Chris Taylor,
First Presbyterian Church at Clarendon,Clarendon,AR,United States ,870-747-3854,Church124@soapboxsuperapp.com,-,Rev,A John D'Arezzo Jr,
Christ Church Conway,Conway,AR,United States ,501-269-6680,kevin@christchurchconway.org,www.christchurchconway.org,Rev,Kevin Hale,
Christ Community Church,Fayetteville,AR,United States ,479-305-0153,office@cccfay.com,www.cccfay.com,Rev,Dave Abney,
Covenant Church,Fayetteville,AR,United States ,479-442-5267,covenant@covenantchurchpca.org,www.covenantchurchpca.org,Rev,Paul S Sagan,
Covenant Presbyterian Church,Fort Smith,AR,United States ,479-242-7737,jclayton@cpcfs.org,www.cpcfs.org,Rev,John Clayton,
Hope Church Hot Springs,Hot Springs,AR,United States ,501-623-1112,Church129@soapboxsuperapp.com,www.hopechurchpca.org,Rev,Scott Davis,
Christ Redeemer PCA - Mission,Jonesboro,AR,United States ,870-370-4424,info@christredeemer.org,christredeemer.org,Rev,George William Berry,
Central Hope Church,Little Rock,AR,United States ,501-352-0455,dan@centralhope.org,centralhope.org,Rev,Daniel Sean Anderson,
Covenant Presbyterian Church at Little Rock,Little Rock,AR,United States ,501-228-5903,cpc@covenantpca.com,www.covenantpca.com,Rev,Tim J Reed,
Trinity Grace Church,Rogers,AR,United States ,479-636-9977,chris@trinitygrace.org,www.trinitygrace.org,Rev,Chris A Miller,
Covenant Presbyterian Church at Russellville,Russellville,AR,United States ,479-974-1779,pastor@cpcrussellville.com,www.covenantrussellville.com,Rev,Jonathan Gregory Sargent,
Trinity Fellowship Church,Sherwood,AR,United States ,501-834-0907,office@trinityfellowshippca.org,www.trinityfellowshippca.org,Rev,Brad John DeVries,
Redeemer Presbyterian Church,Siloam Springs,AR,United States ,479-373-6076,info@redeemersiloam.org,www.redeemersiloam.org,Rev,Theodore T Wenger,
Faith Reformed Presbyterian Church,Vancouver,BC,Canada,604-438-8755,faithvanpca@gmail.com,www.faithvan.com,Rev,Mark Jones,
Grace Vancouver,Vancouver,BC,Canada,604-738-3537,mail@gracevancouver.com,www.gracevancouver.com,Rev,Dr Michael N,
Free Grace Presbyterian Church,Vernon,BC,Canada,902-322-8599,freegracevernon@gmail.com,www.freegracevernon.com,Rev,Ian W Crooks,
Lighthouse Presbyterian Church,Victoria,BC,Canada,250-818-9252,info@lighthousechurch.ca,lighthousechurch.ca,Rev,Scott McDowell,
Bridges Community Church of San Gabriel Valley,Alhambra,CA,United States ,-,Church141@soapboxsuperapp.com,bridgessgv.com,Rev,Michael Gregory,
Aliso Creek Church,Aliso Viejo,CA,United States ,949-460-0080,eva@alisocreekchurch.org,alisocreekchurch.org,Rev,Tom G Gastil,
Abundant Community Church,Anaheim,CA,United States ,562-634-2910,abundantcchurch@gmail.com,-,Rev,Hyung Soo Cho,
Jungkm Church,Anaheim,CA,United States ,213-505-0936,sinjun.choi@gmail.com,-,Rev,Sin Jun Choi,
Sa-Rang Community Church,Anaheim,CA,United States ,714-772-7777,church@sarang.com,www.sarang.com,Rev,Chang Soo Danny Ro,
Providence Reformed Church of Bakersfield,Bakersfield,CA,United States ,607-651-5612,jon.key@pcabakersfield.com,www.pcabakersfield.com,Rev,Jonathan Key,
Berkeley Grace Presbyterian Church,Berkeley,CA,United States ,510-527-9191,office@berkeleygracepres.org,www.berkeleygracepres.org,Rev,Ernest Kim,
Nachimban Church,Brea,CA,United States ,562-691-0691,danilekmin@yahoo.com,www.nachimban.org,Rev,Kyung Yob Daniel Min,
Il Shin Presbyterian Church,Buena Park,CA,United States ,714-726-0235,hyosungan@gmail.com,www.ilshinchurch.org,Rev,Joseph Hyosung An,
Burbank Korean Presbyterian Church,Burbank,CA,United States ,818-840-0668,Church150@soapboxsuperapp.com,-,-,,
Church in the Canyon,Calabasas,CA,United States ,818-880-2060,pastor@churchinthecanyon.org,www.churchinthecanyon.org,-,,
Christ our Redeemer,Camarillo,CA,United States ,916-896-8596,sun@corpcavc.org,corpcavc.org,Rev,Sun Kwak,
Ark Mission Church,Carmichael,CA,United States ,916-482-8800,arkmissionadm@gmail.com,www.arkmissionchurch.org,Rev,Wonsik Ha,
Eden Korean Presbyterian Church,Castro Valley,CA,United States ,510-538-1853,Church154@soapboxsuperapp.com,-,Rev,Daniel Byong Il Cho,
Indelible Grace Church,Castro Valley,CA,United States ,510-274-1199,contact@indeliblegracechurch.org,www.indeliblegracechurch.org,Rev,Jesse Robinson,
Holy City Church,Cerritos,CA,United States ,562-335-8888,holycitychurch@hotmail.com,-,Rev,Edward Keon Ko,
Valley Bethel Presbyterian Church,Chatsworth,CA,United States ,818-407-1234,ejc0316@gmail.com,-,Rev,Nam Cho,
Ridge Presbyterian Church,Chico,CA,United States ,530-872-8270,office.ridgepres@gmail.com,www.ridgepresbyterian.org,Rev,Josh Lee,
East Sarang Community Church,Chino,CA,United States ,909-590-3722,Church159@soapboxsuperapp.com,-,Rev,Seung Gyu Park,
Serving Community Presbyterian Church,Chino Hills,CA,United States ,213-290-8246,hish2004@naver.com,-,-,,
New Song Church,Corona,CA,United States ,951-272-9126,jonglee7676@gmail.com,newsongcorona.com,Rev,Jong Chun Lee,
Global Mission Church,Diamond Bar,CA,United States ,909-396-4441,Church162@soapboxsuperapp.com,www.igmc.org,Rev,Daniel Jeesung Kim,
iVision Community Church,Downey,CA,United States ,909-595-9596,ivisioncc@gmail.com,www.ivcpc.org,-,,
El Centro Korean Church,El Centro,CA,United States ,760-604-2270,solagod@gmail.com,www.cafe.daum.net/eckcb,Rev,Yong Ho Lee,
Redeemer Presbyterian Church of San Diego,Encinitas,CA,United States ,760-753-2535,tricia@redeemersd.org,www.redeemersd.org,Rev,Paul Kim,
Mision Vida Nueva,Escondido,CA,United States ,760-500-9327,pastor@misionvidanueva.org,www.misionvidanueva.org,Rev,Juan Jose Arjona-Todd,
New Life Presbyterian Church,Escondido,CA,United States ,760-489-5714,info@newlifepca.com,www.NewLifePCA.com,Rev,Theodore Hamilton,
Rodem Church,Fair Oaks,CA,United States ,916-671-9088,Church168@soapboxsuperapp.com,-,Rev,Chun Ho Oh,
"Grace Presbyterian Church, Fallbrook",Fallbrook,CA,United States ,-,info@gracefallbrook.church,www.gracefallbrook.church,Rev,Kenneth Han,
New Life Mission Church of Fremont,Fremont,CA,United States ,510-761-6562,projectfremont@gmail.com,www.newlifefremont.org,Rev,Amos Choi,
Grace Fresno Presbyterian Church,Fresno,CA,United States ,559-997-5721,brad@gracefresno.org,www.gracefresno.org,Rev,Michael David Mock,
Sierra View Presbyterian Church,Fresno,CA,United States ,559-668-2218,office@sierraviewpca.org,www.sierraviewpca.org,Rev,Brandon J Edmonds,
New Life Mission Church,Fullerton,CA,United States ,714-526-6562,spnlmc@gamil.com,www.newlifemissionchurch.com,-,,
New Life Presbyterian Church of Orange County,Fullerton,CA,United States ,714-705-6572,info@newlifepres.org,newlifepres.org,-,,
Gardena Presbyterian Church,Gardena,CA,United States ,310-217-9191,goodsts73@gmail.com,www.gpclove.com,Rev,Tae Sup Shin,
Hana Presbyterian Church,Gardena,CA,United States ,818-241-0000,Church176@soapboxsuperapp.com,-,Rev,Joseph S Kim,
Lamp Presbyterian Church of Los Angeles,Gardena,CA,United States ,310-327-8778,Church177@soapboxsuperapp.com,lampchurch.org,Rev,Sung Yun Han,
New Creation Church,Glendale,CA,United States ,818-208-0360,dan@newcreationla.com,newcreationla.com,Rev,Daniel Myers,
Risen Church,Hayward,CA,United States ,-,richardhong@risenhayward.com,risenhayward.com,Rev,Richard Hong,
Disciple Community Church,Irvine,CA,United States ,949-502-4923,pastorko@disciplecc.org,www.disciplecc.org,Rev,Paul H J,
Irvine Sarang Community Church,Irvine,CA,United States ,949-954-5234,hyeonsikpark@gmail.com,www.irvinesarang.org,Rev,Hyeon Sik Park,
New Life Church of Irvine,Irvine,CA,United States ,949-431-6777,welcome@newlifeirvine.org,www.newlifeirvine.org,Rev,Jeffrey Suhr,
La Crescenta New Light Church,La Crescenta,CA,United States ,323-665-9191,kwnto@hotmail.com,www.gonewlight.org,-,,
New Life Mission Church of Glendale,La Crescenta,CA,United States ,818-570-1214,nlglendale@gmail.com,www.newlifemissionchurch.net,Rev,Solomon D H,
Good Vision Church,La Habra,CA,United States ,7144823649,headnheart0823@gmail.com,www.goodvisionchurch.org/,Rev,Junwoo Choi,
New Life Presbyterian Church of La Jolla,La Jolla,CA,United States ,858-213-7654,nljames1994@gmail.com,www.newlifelajolla.org,Rev,Jeong Woo James Lee,
New Life Presbyterian Church of La Mesa,La Mesa,CA,United States ,619-667-5999,info@newlifelamesa.org,www.newlifelamesa.org,Rev,Joel E Wood,
Antioch Korean Christian Community Church,La Mirada,CA,United States ,323-930-0678,philipinhosong@gmail.com,-,Rev,Philip Song,
Maranatha Vision Church,Livermore,CA,United States ,925-449-2241,y2vision@gmail.com,www.maranathavc.org,Rev,Dae I Kang,
Redeemer Presbyterian Church 2nd site,Lomita,CA,United States ,213-447-1187,pjameshan@gmail.com,-,Rev,James J Han,
King's Church,Long Beach,CA,United States ,562-424-1205,info@kingschurch.us,kingschurch.us,Rev,Jason Park,
The Humbled One Church,Los Alamitos,CA,United States ,714-726-0235,hyosungan@hotmail.com,-,-,,
The Way Church,Los Altos,CA,United States ,408-340-3458,gracevalleysj@gmail.com,gracevalleysj.org,Rev,Kyungryul Lee,
City Light Church,Los Angeles,CA,United States ,213-788-3343,dennis@citylightchurch.org,www.citylightchurch.org,Rev,Dennis Kang,
Living Faith Presbyterian Church,Los Angeles,CA,United States ,562-716-3132,Church195@soapboxsuperapp.com,livingfaithLA.com,Rev,Andrew S Park,
Orchard Church,Los Angeles,CA,United States ,-,jeffrey@orchardla.org,orchardla.org,-,,
Pacific Crossroads Church,Los Angeles,CA,United States ,310-551-0081,info@pacificcrossroads.org,www.pacificcrossroads.org,Rev,Alex Watlington,
Peniel Presbyterian Church,Los Angeles,CA,United States ,310-951-6963,heungdo_lee@hotmail.com,-,Rev,David Heung D Lee,
Redeemer Presbyterian Church,Los Angeles,CA,United States ,213-447-1187,pjameshan@gmail.com,www.redeemerpc.org,Rev,James J Han,
The Way Church,Los Angeles,CA,United States ,323-735-0200,churchtheway@gmail.com,www.churchtheway.com,Rev,James Jinjun Ro,
Valley Presbyterian Church,Los Angeles,CA,United States ,818-894-9200,valleypresbyterian@gmail.com,www.valleypresbyterian.org,Rev,Ronald S Svendsen,
Victory Presbyterian Church,Los Angeles,CA,United States ,323-664-1824,Church202@soapboxsuperapp.com,www.vpcla.com,Rev,James Jeewoun Kim,
Jubilee Church,Newport Beach,CA,United States ,714-213-2291,Church203@soapboxsuperapp.com,-,Rev,James SangChul Lee,
Redeemer Presbyterian Church,Newport Beach,CA,United States ,-,contact@redeemeroc.org,www.redeemeroc.org,Rev,Joshua Hahne,
Resurrection Oakland Church,Oakland,CA,United States ,-,info@resoakland.com,www.resoakland.com,Rev,Brent Webster,
El Camino Presbyterian Church,Oceanside,CA,United States ,760-237-8074,eric@elcaminopca.com,elcaminopca.com,Rev,Chappell,
Orange Hill Presbyterian Church,Orange,CA,United States ,714-633-3104,pch3927@hotmail.com,www.orangehillchurch.com,Rev,Chang Ho Baik,
Trinity Presbyterian Church of Orange County,Orange,CA,United States ,714-515-4686,info@trinitypresoc.org,www.trinitypresoc.org,Rev,Eric Kapur,
Providence Presbyterian Church,Palm Desert,CA,United States ,760-289-5413,office@pcapalmdesert.org,www.pcapalmdesert.org,Rev,Daniel A Dalton,
